,BPM_mean,SDNN,RMSSD,pNN50,VLF,LF,HF,LF_HF_ratio,SD1,SD2,SD1_SD2_ratio,SampEn,DFA_alpha1
BPM_mean,1.0,0.42682301850099547,0.5263696637370635,0.690605316788348,0.0945254916531094,0.26055961624646407,0.47160184834485525,-0.2683885834112611,0.5245734115681653,0.3627909309760873,0.37557473019566195,0.08274335636207576,-0.28358879464197817
SDNN,0.42682301850099547,1.0,0.9491584983689703,0.8295325350095539,0.3726764944823005,0.7857765148348239,0.8897999385463152,-0.32713723075306717,0.9492989086068703,0.9876757987615673,0.09702450613717231,0.16208344100575778,0.006939914452034572
RMSSD,0.5263696637370635,0.9491584983689703,1.0,0.9065048412056025,0.28886907636638864,0.6439021540460736,0.8887993985434093,-0.4342882075474161,0.9999843390321306,0.8889243561995842,0.3463816864117172,0.19061231641699777,-0.19176884601611424
pNN50,0.690605316788348,0.8295325350095539,0.9065048412056025,1.0,0.23477903829773586,0.5463297676441939,0.8155022454703157,-0.41633762664640167,0.9059696075420376,0.7607651841083027,0.37333350776907687,0.3513349476750113,-0.2660761221683997
VLF,0.0945254916531094,0.3726764944823005,0.28886907636638864,0.23477903829773586,1.0,0.35208808834015537,0.25271658604032915,-0.0432713153042635,0.28745414985112144,0.4011459814857288,-0.10347897214524972,0.02009512592309987,0.09523627191817337
LF,0.26055961624646407,0.7857765148348239,0.6439021540460736,0.5463297676441939,0.35208808834015537,1.0,0.7003416902002325,-0.08876443696489529,0.6439294636000185,0.8269996508841803,-0.13851169206106967,0.14131200533940355,0.17927494992687126
HF,0.47160184834485525,0.8897999385463152,0.8887993985434093,0.8155022454703157,0.25271658604032915,0.7003416902002325,1.0,-0.32984720237871407,0.8890705302812386,0.8582599414135551,0.1435053562420296,0.2539709778134211,-0.048752223331118276
LF_HF_ratio,-0.2683885834112611,-0.32713723075306717,-0.4342882075474161,-0.41633762664640167,-0.0432713153042635,-0.08876443696489529,-0.32984720237871407,1.0,-0.4341386394330382,-0.2638063106869951,-0.5328742695229634,-0.06558746583901603,0.4335155373784396
SD1,0.5245734115681653,0.9492989086068703,0.9999843390321306,0.9059696075420376,0.28745414985112144,0.6439294636000185,0.8890705302812386,-0.4341386394330382,1.0,0.889113947724124,0.3460817942096185,0.19042198998021104,-0.19085657299871944
SD2,0.3627909309760873,0.9876757987615673,0.8889243561995842,0.7607651841083027,0.4011459814857288,0.8269996508841803,0.8582599414135551,-0.2638063106869951,0.889113947724124,1.0,-0.03303605366377605,0.14485167491837117,0.10530853902605128
SD1_SD2_ratio,0.37557473019566195,0.09702450613717231,0.3463816864117172,0.37333350776907687,-0.10347897214524972,-0.13851169206106967,0.1435053562420296,-0.5328742695229634,0.3460817942096185,-0.03303605366377605,1.0,-0.07195633596720306,-0.76015241529201
SampEn,0.08274335636207576,0.16208344100575778,0.19061231641699777,0.3513349476750113,0.02009512592309987,0.14131200533940355,0.2539709778134211,-0.06558746583901603,0.19042198998021104,0.14485167491837117,-0.07195633596720306,1.0,0.0760821453265358
DFA_alpha1,-0.28358879464197817,0.006939914452034572,-0.19176884601611424,-0.2660761221683997,0.09523627191817337,0.17927494992687126,-0.048752223331118276,0.4335155373784396,-0.19085657299871944,0.10530853902605128,-0.76015241529201,0.0760821453265358,1.0
